13427865 1 -16 155 -1196 8226 -54687 | 40319 362815 3626195 39832691 476581038 6161714061
13428756 1 -16 155 -1196 8226 -54693 | 40319 362815 3626195 39832691 476581038 6161714067
13452786 1 -16 155 -1189 7919 -46915 | 40319 362815 3626195 39832684 476580337 6161672996
15673428 1 -16 155 -1189 7919 -46882 | 40319 362815 3626195 39832684 476580337 6161672963
13456827 1 -16 157 -1261 9463 -72580 | 40319 362815 3626193 39832514 476571737 6161332269
23457186 1 -16 157 -1261 9463 -72342 | 40319 362815 3626193 39832514 476571737 6161332031
13457628 1 -16 156 -1227 8773 -61450 | 40319 362815 3626194 39832601 476576243 6161514813
13786542 1 -16 156 -1227 8773 -61503 | 40319 362815 3626194 39832601 476576243 6161514866
13457682 1 -16 155 -1198 8294 -55390 | 40319 362815 3626195 39832693 476581258 6161727608
13546782 1 -16 155 -1198 8294 -55481 | 40319 362815 3626195 39832693 476581258 6161727699
13457826 1 -16 157 -1250 8998 -61539 | 40319 362815 3626193 39832503 476570618 6161265965
13876254 1 -16 157 -1250 8998 -61792 | 40319 362815 3626193 39832503 476570618 6161266218
13457862 1 -16 156 -1227 8774 -61608 | 40319 362815 3626194 39832601 476576242 6161514802
13876452 1 -16 156 -1227 8774 -61587 | 40319 362815 3626194 39832601 476576242 6161514781
13458267 1 -16 157 -1247 8896 -60384 | 40319 362815 3626193 39832500 476570288 6161245544
15762834 1 -16 157 -1247 8896 -59782 | 40319 362815 3626193 39832500 476570288 6161244942
25643817 1 -16 157 -1247 8896 -59476 | 40319 362815 3626193 39832500 476570288 6161244636
13468572 1 -16 157 -1260 9394 -70127 | 40319 362815 3626193 39832513 476571662 6161329309
17853462 1 -16 157 -1260 9394 -70106 | 40319 362815 3626193 39832513 476571662 6161329288
13472856 1 -16 158 -1277 9313 -61585 | 40319 362815 3626192 39832409 476565479 6161050536
17348562 1 -16 158 -1277 9313 -61170 | 40319 362815 3626192 39832409 476565479 6161050121
13475628 1 -16 157 -1253 9086 -62470 | 40319 362815 3626193 39832506 476570962 6161288528
14382675 1 -16 157 -1253 9086 -62888 | 40319 362815 3626193 39832506 476570962 6161288946
13476582 1 -16 155 -1193 8103 -51432 | 40319 362815 3626195 39832688 476580729 6161695089
13654782 1 -16 155 -1193 8103 -51485 | 40319 362815 3626195 39832688 476580729 6161695142
15768342 1 -16 155 -1193 8103 -51468 | 40319 362815 3626195 39832688 476580729 6161695125
13476825 1 -16 157 -1241 8622 -52602 | 40319 362815 3626193 39832494 476569698 6161211060
13782645 1 -16 157 -1241 8622 -53005 | 40319 362815 3626193 39832494 476569698 6161211463
13476852 1 -16 157 -1257 9281 -67832 | 40319 362815 3626193 39832510 476571343 6161309607
13576842 1 -16 157 -1257 9281 -67955 | 40319 362815 3626193 39832510 476571343 6161309730
24586713 1 -16 157 -1257 9281 -67508 | 40319 362815 3626193 39832510 476571343 6161309283
