class_id,size,representative,c8,c9,c10,c11,c12,c13,c14,Av8,Av9,Av10,Av11,Av12,Av13,Av14,cutoff
2498,8,23571486,1,-16,159,-1302,9626,-63559,,40319,362815,3626191,39832313,476560054,6160813037,,13
2499,8,23571684,1,-16,159,-1310,10065,-77101,,40319,362815,3626191,39832321,476560767,6160849732,,13
2500,8,23571846,1,-16,159,-1312,10147,,,40319,362815,3626191,39832323,476560973,,,12
2501,8,23571864,1,-16,159,-1310,10065,-76907,,40319,362815,3626191,39832321,476560767,6160849538,,13
2502,8,23574186,1,-16,159,-1312,10102,,,40319,362815,3626191,39832323,476561018,,,12
2503,8,23574816,1,-16,159,-1311,10053,,,40319,362815,3626191,39832322,476560923,,,12
2504,8,23576184,1,-16,157,-1240,8616,,,40319,362815,3626193,39832493,476569560,,,12
2505,8,23576814,1,-16,156,-1214,8242,,,40319,362815,3626194,39832588,476574902,,,12
2506,8,23578146,1,-16,158,-1279,9502,,,40319,362815,3626192,39832411,476565578,,,12
2507,8,23578164,1,-16,158,-1274,9294,,,40319,362815,3626192,39832406,476565066,,,12
2508,8,23578416,1,-16,158,-1276,9354,-64395,,40319,362815,3626192,39832408,476565294,6161034249,,13
2509,8,23578614,1,-16,157,-1249,9023,,,40319,362815,3626193,39832502,476570449,,,12
2510,4,23581467,1,-16,158,-1266,8876,,,40319,362815,3626192,39832398,476564332,,,12
2511,8,23581476,1,-16,158,-1268,8976,,,40319,362815,3626192,39832400,476564520,,,12
2512,8,23581647,1,-16,159,-1301,9672,,,40319,362815,3626191,39832312,476559864,,,12
2513,8,23581674,1,-16,158,-1269,9103,,,40319,362815,3626192,39832401,476564537,,,12
2514,8,23581746,1,-16,159,-1304,9803,,,40319,362815,3626191,39832315,476560165,,,12
2515,8,23581764,1,-16,158,-1274,9279,,,40319,362815,3626192,39832406,476565081,,,12
2516,8,23584167,1,-16,158,-1270,9073,,,40319,362815,3626192,39832402,476564711,,,12
2517,8,23584176,1,-16,158,-1272,9171,,,40319,362815,3626192,39832404,476564901,,,12
2518,8,23584617,1,-16,159,-1315,10227,-79374,,40319,362815,3626191,39832326,476561325,6160885467,,13
2519,8,23584716,1,-16,159,-1314,10184,,,40319,362815,3626191,39832325,476561224,,,12
2520,8,23586147,1,-16,159,-1301,9652,,,40319,362815,3626191,39832312,476559884,,,12
2521,8,23586174,1,-16,159,-1308,9976,,,40319,362815,3626191,39832319,476560568,,,12
2522,8,23586417,1,-16,159,-1309,9993,,,40319,362815,3626191,39832320,476560695,,,12
2523,8,23586714,1,-16,157,-1249,9013,,,40319,362815,3626193,39832502,476570459,,,12
2524,8,23587146,1,-16,158,-1269,9062,,,40319,362815,3626192,39832401,476564578,,,12
2525,8,23587164,1,-16,158,-1275,9387,,,40319,362815,3626192,39832407,476565117,,,12
2526,8,23587416,1,-16,158,-1266,8886,,,40319,362815,3626192,39832398,476564322,,,12
2527,8,23587614,1,-16,156,-1213,8257,-51361,,40319,362815,3626194,39832587,476574743,6161421576,,13
2528,4,23614785,1,-16,158,-1266,8790,,,40319,362815,3626192,39832398,476564418,,,12
2529,8,23614857,1,-16,159,-1308,9853,,,40319,362815,3626191,39832319,476560691,,,12
2530,8,23614875,1,-16,158,-1274,9130,,,40319,362815,3626192,39832406,476565230,,,12
2531,8,23615784,1,-16,158,-1277,9381,,,40319,362815,3626192,39832409,476565411,,,12
2532,8,23615847,1,-16,159,-1310,9935,,,40319,362815,3626191,39832321,476560897,,,12
2533,8,23615874,1,-16,158,-1273,9203,,,40319,362815,3626192,39832405,476565013,,,12
2534,8,23617485,1,-16,159,-1310,10012,,,40319,362815,3626191,39832321,476560820,,,12
2535,8,23617584,1,-16,159,-1312,10139,,,40319,362815,3626191,39832323,476560981,,,12
2536,8,23617845,1,-16,157,-1243,8741,,,40319,362815,3626193,39832496,476569867,,,12
2537,8,23617854,1,-16,157,-1243,8748,,,40319,362815,3626193,39832496,476569860,,,12
2538,8,23618457,1,-16,158,-1274,9275,-62873,,40319,362815,3626192,39832406,476565085,6161021742,,13
2539,8,23618475,1,-16,159,-1306,9856,-71189,,40319,362815,3626191,39832317,476560400,6160830469,,13
2540,8,23618547,1,-16,158,-1266,8892,,,40319,362815,3626192,39832398,476564316,,,12
2541,8,23618574,1,-16,159,-1314,10218,,,40319,362815,3626191,39832325,476561190,,,12
2542,8,23618745,1,-16,157,-1241,8685,,,40319,362815,3626193,39832494,476569635,,,12
2543,8,23618754,1,-16,157,-1241,8655,,,40319,362815,3626193,39832494,476569665,,,12
2544,8,23641857,1,-16,159,-1316,10278,,,40319,362815,3626191,39832327,476561418,,,12
2545,8,23641875,1,-16,158,-1281,9516,-67426,,40319,362815,3626192,39832413,476565852,6161070742,,13
2546,8,23645817,1,-16,157,-1248,8898,,,40319,362815,3626193,39832501,476570430,,,12
2547,8,23647185,1,-16,159,-1310,10013,,,40319,362815,3626191,39832321,476560819,,,12
2548,8,23647815,1,-16,158,-1277,9390,,,40319,362815,3626192,39832409,476565402,,,12
2549,8,23648157,1,-16,159,-1305,9818,-69986,,40319,362815,3626191,39832316,476560294,6160823520,,13
2550,8,23648175,1,-16,159,-1310,10025,-75070,,40319,362815,3626191,39832321,476560807,6160854461,,13
2551,8,23648517,1,-16,159,-1316,10275,,,40319,362815,3626191,39832327,476561421,,,12
2552,8,23648715,1,-16,158,-1278,9442,,,40319,362815,3626192,39832410,476565494,,,12
2553,4,23651784,1,-16,157,-1238,8558,,,40319,362815,3626193,39832491,476569330,,,12
2554,8,23651847,1,-16,158,-1268,9022,,,40319,362815,3626192,39832400,476564474,,,12
2555,8,23651874,1,-16,157,-1238,8538,,,40319,362815,3626193,39832491,476569350,,,12
2556,8,23654817,1,-16,156,-1224,8680,,,40319,362815,3626194,39832598,476575904,,,12
2557,8,23657184,1,-16,157,-1240,8617,-53079,,40319,362815,3626193,39832493,476569559,6161200214,,13
2558,8,23657814,1,-16,156,-1213,8236,,,40319,362815,3626194,39832587,476574764,,,12
2559,8,23658147,1,-16,158,-1268,9047,,,40319,362815,3626192,39832400,476564449,,,12
2560,8,23658174,1,-16,158,-1273,9289,,,40319,362815,3626192,39832405,476564927,,,12
2561,8,23658417,1,-16,158,-1273,9204,-60284,,40319,362815,3626192,39832405,476565012,6161018984,,13
2562,8,23658714,1,-16,156,-1213,8234,,,40319,362815,3626194,39832587,476574766,,,12
2563,8,23671485,1,-16,158,-1265,8931,,,40319,362815,3626192,39832397,476564133,,,12
2564,8,23671584,1,-16,158,-1266,8977,-56900,,40319,362815,3626192,39832398,476564231,6160968787,,13
2565,8,23671845,1,-16,157,-1239,8566,,,40319,362815,3626193,39832492,476569466,,,12
2566,8,23671854,1,-16,157,-1239,8590,,,40319,362815,3626193,39832492,476569442,,,12
2567,8,23674185,1,-16,158,-1265,8894,,,40319,362815,3626192,39832397,476564170,,,12
2568,8,23674815,1,-16,158,-1267,8964,,,40319,362815,3626192,39832399,476564388,,,12
2569,8,23675184,1,-16,157,-1232,8331,,,40319,362815,3626193,39832485,476568693,,,12
2570,8,23675814,1,-16,157,-1245,8857,-59839,,40319,362815,3626193,39832498,476570039,6161227254,,13
2571,8,23678145,1,-16,156,-1211,8148,,,40319,362815,3626194,39832585,476574564,,,12
2572,8,23678154,1,-16,156,-1211,8165,,,40319,362815,3626194,39832585,476574547,,,12
