class_id,pattern,lex_rank,representative,representative_rank,class_size
47,42531876,16109,12368574,69,24
115,42536178,16110,12468573,189,16
115,42536187,16111,12468573,189,16
477,42536718,16112,13468572,909,8
2226,42536781,16113,17586432,4079,8
4142,42536817,16114,27586413,9118,8
2225,42536871,16115,17586423,4078,8
864,42537168,16116,13826475,1333,8
2789,42537186,16117,24168573,6549,8
1010,42537618,16118,14368572,1629,8
2224,42537681,16119,17586342,4077,8
4140,42537816,16120,27586143,9115,8
2091,42537861,16121,16873524,3586,8
2676,42538167,16122,23816475,6373,8
4421,42538176,16123,32816475,11413,8
4141,42538617,16124,27586314,9116,8
2223,42538671,16125,17586324,4076,8
4139,42538716,16126,27586134,9114,8
2036,42538761,16127,16783524,3466,8
201,42561378,16128,12568374,307,16
201,42561387,16129,12568374,307,16
575,42561738,16130,13568274,1027,8
2495,42561783,16131,23568174,6067,8
3565,42561837,16132,26183475,8017,8
4343,42561873,16133,32568174,11107,8
203,42563178,16134,12568473,309,16
203,42563187,16135,12568473,309,16
577,42563718,16136,13568472,1029,8
2187,42563781,16137,17486532,3959,8
4085,42563817,16138,27486513,8998,8
2186,42563871,16139,17486523,3958,8
1100,42567138,16140,14568273,1747,8
2901,42567183,16141,24568173,6787,8
1102,42567318,16142,14568372,1749,8
2142,42567381,16143,17386542,3839,8
3959,42567813,16144,27186543,8759,8
969,42567831,16145,13876524,1438,8
3785,42568137,16146,26813475,8521,8
4691,42568173,16147,37186524,13798,4
4024,42568317,16148,27386514,8878,8
2141,42568371,16149,17386524,3838,4
3958,42568713,16150,27186534,8758,8
849,42568731,16151,13786524,1318,8
712,42571368,16152,13682475,1177,8
3174,42571386,16153,25168374,7267,8
1475,42571638,16154,15368274,2347,8
3236,42571683,16155,25368174,7387,8
4552,42571836,16156,35168274,12307,8
4574,42571863,16157,35268174,12427,8
924,42573168,16158,13862475,1393,8
3176,42573186,16159,25168473,7269,8
1477,42573618,16160,15368472,2349,8
2185,42573681,16161,17486352,3957,8
4083,42573816,16162,27486153,8995,8
2059,42573861,16163,16837524,3526,8
1546,42576138,16164,15468273,2467,8
3284,42576183,16165,25468173,7507,8
1548,42576318,16166,15468372,2469,8
2140,42576381,16167,17386452,3837,8
3957,42576813,16168,27186453,8757,8
945,42576831,16169,13867524,1414,8
4672,42578136,16170,36812475,13561,8
4633,42578163,16171,36187524,13078,8
4022,42578316,16172,27386154,8875,8
1878,42578361,16173,16387524,3118,8
3955,42578613,16174,27186354,8755,8
733,42578631,16175,13687524,1198,8
2576,42581367,16176,23681475,6217,8
4371,42581376,16177,32681475,11257,8
3613,42581637,16178,26381475,8137,8
4729,42581673,16179,37618524,14182,8
4642,42581736,16180,36281475,13177,8
4665,42581763,16181,36718524,13462,8
2722,42583167,16182,23861475,6433,8
4445,42583176,16183,32861475,11473,8
4084,42583617,16184,27486315,8996,8
2184,42583671,16185,17486325,3956,8
4082,42583716,16186,27486135,8994,8
2001,42583761,16187,16738524,3406,8
3803,42586137,16188,26831475,8545,8
4689,42586173,16189,37168524,13774,8
4023,42586317,16190,27386415,8876,8
2133,42586371,16191,17368524,3814,8
3956,42586713,16192,27186435,8756,8
825,42586731,16193,13768524,1294,8
4676,42587136,16194,36821475,13585,8
4627,42587163,16195,36178524,13054,8
4021,42587316,16196,27386145,8874,8
1864,42587361,16197,16378524,3094,8
3954,42587613,16198,27186345,8754,8
709,42587631,16199,13678524,1174,8
113,42613578,16200,12468375,187,16
113,42613587,16201,12468375,187,16
643,42613758,16202,13628475,1099,8
2539,42613785,16203,23618475,6139,8
2787,42613857,16204,24168375,6547,8
4360,42613875,16205,32618475,11179,8
259,42615378,16206,12648375,403,8
259,42615387,16207,12648375,403,8
662,42615738,16208,13648275,1123,8
2550,42615783,16209,23648175,6163,8
3538,42615837,16210,26148375,7963,8
4364,42615873,16211,32648175,11203,8
1160,42617358,16212,14628375,1819,4
2940,42617385,16213,24618375,6859,8
1177,42617538,16214,14638275,1843,8
